 Distance Error
0 4321.829490928955 305.2266657171016
1 2624.3153556894795 93.02491957457286
2 3460.708569367667 149.03488542790183
3 3726.7470954873233 192.310696785319
4 3294.0655621851192 158.55863700964062
5 3945.810470566176 317.88545279460527
6 4497.624153952797 324.4999154483896
7 3735.613009483913 224.28792735925987
8 3104.3884148400334 125.96084548996258
9 4881.187826561572 392.7807081770142
10 3023.907734399591 161.6983481279689
11 3282.033617137841 203.0911525612385
12 3032.9853250764336 137.298572537116
13 2292.1231838122726 65.21335710093395
14 2677.576390066223 124.45518716448647
15 10039.358785921188 2018.6163632749408
16 3725.084728843448 184.56304412037005
17 2277.424485023687 113.48595270652469
18 4234.286865316758 220.21488475187928
19 1668.1347596460707 35.45214291570504
20 2707.443422781893 127.2327390471739
21 3841.7920989343506 245.95855461610012
22 6123.116921301248 631.6118043376995
23 3474.7000505616243 155.3157128716641
