#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
346.616465 58.457562 13.745 4670.71 35.1 13.378 0.030
346.712593 58.449233 13.055 7474.62 50.2 12.868 0.021
346.901465 58.429493 13.953 3420.85 25.2 13.716 0.042
346.749642 58.448179 11.883 19013.84 101.1 11.854 0.011
346.486902 58.476562 13.533 3935.95 27.7 13.564 0.038
346.745914 58.450458 12.748 8460.56 53.8 12.733 0.020
346.483171 58.479025 13.949 3009.48 21.6 13.856 0.049
346.808028 58.445587 13.245 5286.04 36.0 13.244 0.030
346.583771 58.474503 14.950 1865.04 13.9 14.375 0.075
346.554223 58.481618 13.028 6717.77 44.5 12.984 0.024
346.760257 58.459667 13.297 4906.35 33.6 13.325 0.032
346.836007 58.451845 12.734 8187.24 52.3 12.769 0.021
346.699238 58.466674 15.037 1156.71 8.8 14.894 0.117
346.610502 58.477031 12.523 10581.21 64.6 12.490 0.017
346.909577 58.450050 14.546 2023.59 15.0 14.286 0.070
346.741138 58.468682 14.352 1893.74 14.1 14.358 0.075
346.895839 58.457051 13.488 4480.21 31.2 13.423 0.034
346.745841 58.475774 12.808 8049.95 51.7 12.787 0.021
346.506527 58.503844 11.733 22237.02 113.5 11.684 0.010
346.654965 58.491805 14.197 2079.69 15.5 14.257 0.068
346.682839 58.490519 13.807 3222.33 23.1 13.781 0.046
346.601430 58.500465 14.419 1985.68 14.9 14.307 0.071
346.567274 58.505243 13.078 6254.71 42.0 13.061 0.026
346.550407 58.511853 14.516 1737.82 13.0 14.452 0.080
347.031706 58.464168 13.827 6374.08 42.0 13.041 0.026
346.612071 58.509701 14.448 2258.61 16.8 14.167 0.063
347.031706 58.464168 13.827 3184.75 22.8 13.794 0.047
346.719259 58.500210 13.104 6525.13 43.4 13.015 0.025
346.519591 58.521770 14.182 2264.80 16.8 14.164 0.063
346.883541 58.484533 14.257 2106.41 15.6 14.243 0.068
346.809027 58.495336 14.917 1463.47 11.0 14.638 0.094
346.513109 58.527967 13.636 3768.92 26.8 13.611 0.040
346.942932 58.482331 14.716 1637.02 12.2 14.517 0.085
346.531159 58.530002 14.547 1999.60 14.8 14.299 0.071
346.679714 58.517131 14.442 1772.00 13.3 14.431 0.079
346.749570 58.510391 14.922 964.55 7.4 15.091 0.138
347.059967 58.480660 11.618 4601.06 37.7 13.395 0.028
346.656850 58.525489 12.120 15020.85 85.4 12.110 0.013
346.512181 58.541587 14.738 1403.79 10.6 14.683 0.098
346.736799 58.519480 15.127 1246.43 9.5 14.813 0.109
346.740280 58.526863 13.742 3396.01 24.3 13.724 0.044
346.911853 58.508663 14.441 1637.23 12.2 14.516 0.085
346.679625 58.534932 13.023 6163.72 41.4 13.077 0.026
347.026863 58.499922 13.592 4114.23 28.8 13.516 0.037
346.722572 58.537083 14.437 1845.01 13.9 14.387 0.076
346.747937 58.535305 15.010 1200.27 9.1 14.854 0.113
346.596925 58.562196 14.194 2064.24 15.4 14.265 0.068
346.852904 58.537315 14.217 2210.33 16.4 14.191 0.064
346.547662 58.572321 14.069 2261.04 16.7 14.166 0.063
346.728074 58.553834 15.101 1114.77 8.6 14.934 0.120
346.780262 58.549194 13.679 3558.22 25.3 13.674 0.042
346.968134 58.529061 14.090 2521.97 18.5 14.047 0.057
346.933036 58.533538 11.434 27886.62 133.0 11.438 0.008
346.563992 58.574165 11.326 31619.50 145.1 11.302 0.007
346.798596 58.550439 13.292 4749.83 32.6 13.360 0.033
346.767472 58.555849 15.045 959.41 7.4 15.097 0.138
346.791983 58.554192 9.905 98686.82 291.3 10.066 0.004
346.983472 58.538919 13.659 3658.25 25.9 13.644 0.041
347.046846 58.532721 14.335 2323.44 16.9 14.136 0.062
346.963411 58.543264 12.305 12303.07 72.7 12.327 0.015
346.938214 58.547705 14.142 2584.31 18.9 14.021 0.056
346.680988 58.576147 12.899 6557.03 43.8 13.010 0.025
346.688838 58.576048 14.815 1506.06 11.4 14.607 0.091
346.928824 58.551684 14.900 1388.13 10.5 14.696 0.098
346.778725 58.568901 14.018 3332.96 24.0 13.745 0.044
346.984893 58.555142 14.769 1395.20 10.5 14.690 0.098
347.016236 58.553260 12.790 8096.85 51.9 12.781 0.021
346.627601 58.597438 13.403 4477.57 31.4 13.424 0.034
346.897013 58.568710 13.284 4906.40 34.0 13.325 0.031
346.771095 58.586804 13.764 2992.23 21.7 13.862 0.049
347.023586 58.562206 14.490 1739.44 13.0 14.451 0.081
346.952555 58.571834 13.388 4758.49 33.0 13.358 0.032
346.986693 58.568932 13.135 6194.14 41.2 13.072 0.026
346.940076 58.575919 14.405 1906.95 14.2 14.351 0.074
346.992397 58.573346 11.040 41077.90 171.6 11.018 0.006
346.688953 58.607078 14.079 2529.57 18.6 14.044 0.057
346.736027 58.607370 12.329 11766.54 70.5 12.375 0.015
346.879190 58.592257 14.643 2162.61 16.0 14.214 0.066
347.070616 58.575738 14.108 2495.79 18.2 14.059 0.058
346.796158 58.606016 12.501 10623.87 65.1 12.486 0.017
346.775334 58.608531 13.293 5206.22 35.7 13.260 0.030
346.842993 58.602894 11.775 20640.02 107.7 11.765 0.010
346.869562 58.604186 14.818 1491.96 11.3 14.617 0.092
