#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
346.687327 58.624067 13.717 3727.97 26.5 13.623 0.040
346.686637 58.627557 13.934 2885.01 21.0 13.901 0.050
346.889412 58.606559 13.590 4136.30 29.1 13.510 0.037
346.636898 58.636048 12.760 8489.79 54.3 12.729 0.020
346.994602 58.598636 13.738 3414.43 24.3 13.718 0.044
346.822941 58.621972 14.885 1095.96 8.4 14.952 0.123
346.848376 58.620905 14.375 1919.56 14.3 14.344 0.073
346.787805 58.627549 13.166 5728.49 38.9 13.157 0.028
346.874739 58.618774 14.268 1898.90 14.2 14.355 0.074
346.547358 58.656273 13.200 5712.87 38.7 13.160 0.028
346.634061 58.648466 12.607 9479.53 59.4 12.610 0.018
347.107102 58.599607 12.360 8795.14 61.7 12.691 0.017
346.911134 58.621605 9.799 129380.01 339.0 9.772 0.003
347.049937 58.607224 12.871 7251.44 47.3 12.901 0.023
346.942769 58.621291 13.458 4626.52 32.1 13.389 0.033
346.676685 58.652598 14.291 1831.92 13.7 14.394 0.077
346.689404 58.651536 14.474 1479.12 11.2 14.627 0.093
346.890092 58.633743 13.195 5734.07 38.8 13.156 0.028
346.786497 58.644948 13.123 6150.24 41.4 13.080 0.026
347.029260 58.620797 12.807 7996.37 51.5 12.795 0.021
346.582766 58.669435 14.234 1807.82 13.5 14.409 0.077
346.755644 58.652952 13.376 5057.54 34.9 13.292 0.031
346.918656 58.643803 13.618 3848.79 27.1 13.588 0.039
346.867717 58.654850 14.334 2010.31 14.9 14.294 0.071
346.816974 58.660558 13.738 3523.08 25.1 13.684 0.042
346.719169 58.671655 14.208 2116.21 15.7 14.238 0.067
346.771622 58.666698 13.101 6254.26 41.8 13.061 0.026
347.113975 58.626281 15.487 4867.00 68.2 13.334 0.016
