#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
346.686637 58.627557 13.934 3671.25 26.8 14.028 0.040
347.013400 58.630138 14.539 1875.76 14.4 14.757 0.073
346.890092 58.633743 13.195 7146.49 47.9 13.305 0.022
346.636898 58.636048 12.760 10840.61 67.5 12.852 0.016
346.966745 58.642797 13.904 3731.00 27.0 14.010 0.039
346.918656 58.643803 13.618 4717.80 33.3 13.756 0.032
346.591767 58.642869 14.601 1847.81 14.2 14.773 0.074
346.786497 58.644948 13.123 7686.90 50.8 13.226 0.021
347.037174 58.648905 12.057 20939.17 110.1 12.138 0.010
346.634061 58.648466 12.607 12719.99 76.5 12.679 0.014
346.689404 58.651536 14.474 2194.31 16.7 14.587 0.063
346.755644 58.652952 13.376 5994.42 41.3 13.496 0.026
346.676685 58.652598 14.291 2449.08 18.5 14.467 0.057
346.867717 58.654850 14.334 2589.93 19.6 14.407 0.054
346.547358 58.656273 13.200 7327.99 49.2 13.277 0.022
346.816974 58.660558 13.738 4289.36 30.8 13.859 0.035
346.525614 58.662978 13.856 10560.89 101.7 12.881 0.011
