#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
347.023609 58.409089 14.894 63385.82 251.3 10.508 0.004
347.044242 58.412577 15.516 59594.67 243.7 10.575 0.004
346.867754 58.426973 14.093 3055.33 7.9 13.800 0.129
346.652060 58.451253 12.105 14210.40 35.6 12.131 0.030
346.616465 58.457562 13.745 3391.38 8.8 13.687 0.116
346.712593 58.449233 13.055 5572.08 14.3 13.148 0.073
346.749642 58.448179 11.883 16954.61 42.0 11.940 0.026
346.745914 58.450458 12.748 7198.85 18.4 12.870 0.057
346.808028 58.445587 13.245 7015.91 18.0 12.898 0.059
346.486902 58.476562 13.533 3397.08 8.9 13.685 0.116
346.836007 58.451845 12.734 7673.20 19.6 12.800 0.054
346.760257 58.459667 13.297 4766.95 12.3 13.317 0.085
346.554223 58.481618 13.028 5485.51 14.3 13.165 0.074
346.610502 58.477031 12.523 9092.67 23.3 12.616 0.046
346.895839 58.457051 13.488 3805.65 9.9 13.562 0.105
346.745841 58.475774 12.808 7348.67 18.8 12.847 0.056
346.506527 58.503844 11.733 19648.22 48.7 11.779 0.022
346.682839 58.490519 13.807 3122.37 8.2 13.777 0.126
346.567274 58.505243 13.078 5383.95 14.0 13.185 0.075
347.031706 58.464168 13.827 5282.90 13.7 13.206 0.077
347.031706 58.464168 13.827 2881.04 7.5 13.864 0.136
346.719259 58.500210 13.104 5427.00 14.1 13.176 0.075
346.513109 58.527967 13.636 3392.32 8.9 13.687 0.116
347.059967 58.480660 11.618 23801.50 58.5 11.571 0.018
346.656850 58.525489 12.120 12603.87 32.1 12.262 0.033
347.026863 58.499922 13.592 3775.84 9.9 13.570 0.105
346.679625 58.534932 13.023 5648.20 14.7 13.133 0.072
346.933036 58.533538 11.434 23919.36 58.5 11.566 0.018
346.780262 58.549194 13.679 3821.93 10.0 13.557 0.104
346.798596 58.550439 13.292 3732.62 9.7 13.583 0.106
346.563992 58.574165 11.326 27611.27 67.3 11.410 0.016
346.791983 58.554192 9.905 150501.33 277.8 9.569 0.004
346.983472 58.538919 13.659 3114.62 8.1 13.779 0.126
346.963411 58.543264 12.305 10930.41 27.9 12.416 0.038
346.680988 58.576147 12.899 6164.14 16.1 13.038 0.066
347.016236 58.553260 12.790 7029.92 18.1 12.895 0.058
346.897013 58.568710 13.284 4465.14 11.6 13.388 0.089
346.627601 58.597438 13.403 3370.43 8.9 13.694 0.116
346.771095 58.586804 13.764 2796.87 7.4 13.896 0.138
346.952555 58.571834 13.388 3819.36 10.0 13.558 0.104
346.986693 58.568932 13.135 4957.68 12.9 13.275 0.081
346.992397 58.573346 11.040 37062.27 87.5 11.090 0.012
346.736027 58.607370 12.329 10662.14 27.4 12.443 0.039
346.796158 58.606016 12.501 9311.74 24.0 12.590 0.044
346.775334 58.608531 13.293 4283.74 11.2 13.433 0.093
346.842993 58.602894 11.775 18318.18 45.9 11.856 0.023
346.687327 58.624067 13.717 2891.91 7.6 13.860 0.133
346.889412 58.606559 13.590 3745.33 9.8 13.579 0.105
346.994602 58.598636 13.738 3112.90 8.2 13.780 0.125
346.636898 58.636048 12.760 7020.84 18.3 12.897 0.058
346.787805 58.627549 13.166 4972.46 13.0 13.271 0.080
347.049937 58.607224 12.871 7124.17 18.4 12.881 0.057
346.911134 58.621605 9.799 115054.95 227.3 9.861 0.005
346.634061 58.648466 12.607 8034.85 21.0 12.750 0.051
346.547358 58.656273 13.200 3769.87 9.9 13.572 0.105
346.942769 58.621291 13.458 3389.15 8.9 13.688 0.116
346.890092 58.633743 13.195 4859.96 12.7 13.296 0.082
347.029260 58.620797 12.807 7281.35 18.8 12.857 0.056
346.786497 58.644948 13.123 5488.98 14.4 13.164 0.073
347.104470 58.616565 14.052 2734.96 7.2 13.920 0.141
346.755644 58.652952 13.376 3877.66 10.1 13.541 0.102
346.918656 58.643803 13.618 3072.92 8.1 13.794 0.127
346.966745 58.642797 13.904 3136.81 8.3 13.772 0.124
