#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
346.895839 58.457051 13.488 8294.17 49.7 13.349 0.022
346.616465 58.457562 13.745 5465.95 33.5 13.802 0.032
346.760257 58.459667 13.297 8494.30 49.0 13.323 0.022
347.031706 58.464168 13.827 5437.75 33.3 13.807 0.032
347.031706 58.464168 13.827 10321.75 58.1 13.111 0.019
346.699238 58.466674 15.037 1911.97 12.5 14.942 0.083
346.741138 58.468682 14.352 3192.94 20.3 14.385 0.052
346.745841 58.475774 12.808 13546.74 72.3 12.816 0.015
346.583771 58.474503 14.950 2474.50 16.1 14.662 0.065
346.972999 58.479426 15.207 1361.76 9.1 15.311 0.114
347.059967 58.480660 11.618 40684.82 164.4 11.622 0.007
346.610502 58.477031 12.523 16840.09 86.4 12.580 0.012
346.942932 58.482331 14.716 2356.10 15.3 14.715 0.069
346.883541 58.484533 14.257 3531.07 22.4 14.276 0.047
346.554223 58.481618 13.028 10798.48 60.6 13.062 0.018
346.803202 58.485069 15.197 1602.45 10.6 15.134 0.098
346.682839 58.490519 13.807 5347.83 32.9 13.825 0.033
346.654965 58.491805 14.197 3583.08 22.8 14.260 0.047
346.809027 58.495336 14.917 1835.78 12.1 14.986 0.086
346.990487 58.499150 14.792 2491.08 16.2 14.655 0.065
347.026863 58.499922 13.592 6276.59 37.9 13.651 0.028
346.719259 58.500210 13.104 10504.47 58.8 13.092 0.018
346.601430 58.500465 14.419 3229.62 20.7 14.373 0.051
347.064878 58.507292 14.361 4567.47 30.2 13.997 0.035
346.837438 58.506478 15.236 1277.43 8.5 15.380 0.120
346.720334 58.505774 15.133 1570.55 10.4 15.156 0.100
346.911853 58.508663 14.441 3133.69 20.1 14.406 0.053
346.895218 58.508951 15.192 1325.52 8.9 15.340 0.116
346.567274 58.505243 13.078 10228.65 57.8 13.121 0.019
346.749570 58.510391 14.922 2005.24 13.2 14.890 0.079
346.612071 58.509701 14.448 2838.09 18.3 14.513 0.058
346.777289 58.513597 15.380 1086.61 7.3 15.556 0.140
346.550407 58.511853 14.516 2631.33 17.1 14.595 0.062
346.679714 58.517131 14.442 3207.38 20.5 14.380 0.052
346.736799 58.519480 15.127 1372.86 9.1 15.302 0.113
346.979958 58.528985 15.474 1219.77 8.2 15.430 0.125
346.656850 58.525489 12.120 25597.13 118.5 12.125 0.009
346.968134 58.529061 14.090 4011.65 25.2 14.137 0.042
346.740280 58.526863 13.742 5871.62 35.8 13.724 0.030
346.764401 58.528412 15.158 1373.31 9.2 15.301 0.113
347.046846 58.532721 14.335 3291.71 21.0 14.352 0.051
346.933036 58.533538 11.434 46589.15 179.2 11.475 0.006
346.531159 58.530002 14.547 4190.92 28.6 14.090 0.037
346.747937 58.535305 15.010 1664.22 11.0 15.093 0.095
346.679625 58.534932 13.023 10795.74 60.4 13.063 0.018
346.852904 58.537315 14.217 3817.25 24.2 14.191 0.044
346.983472 58.538919 13.659 6013.53 36.7 13.698 0.029
347.032524 58.539953 14.881 1786.51 11.8 15.016 0.088
346.722572 58.537083 14.437 2900.34 18.8 14.490 0.056
346.963411 58.543264 12.305 21023.44 102.6 12.339 0.011
346.938214 58.547705 14.142 3937.26 24.9 14.158 0.043
346.748099 58.548024 15.266 1345.55 9.0 15.324 0.114
346.780262 58.549194 13.679 5601.21 34.1 13.775 0.031
346.928824 58.551684 14.900 1822.65 12.0 14.994 0.087
346.798596 58.550439 13.292 8450.03 48.7 13.329 0.022
347.016236 58.553260 12.790 13941.91 74.7 12.785 0.014
346.984893 58.555142 14.769 1992.58 13.1 14.897 0.080
346.791983 58.554192 9.905 232468.95 461.3 9.730 0.002
346.728074 58.553834 15.101 2125.21 14.0 14.827 0.075
346.767472 58.555849 15.045 1613.50 10.7 15.126 0.097
347.023586 58.562206 14.490 2716.08 17.7 14.561 0.060
346.596925 58.562196 14.194 3866.46 24.6 14.178 0.043
346.986693 58.568932 13.135 9627.85 54.7 13.187 0.020
346.897013 58.568710 13.284 8057.86 47.3 13.380 0.023
346.778725 58.568901 14.018 4961.81 30.8 13.907 0.035
346.952555 58.571834 13.388 7507.31 44.5 13.457 0.024
346.992397 58.573346 11.040 68677.54 229.2 11.054 0.005
346.940076 58.575919 14.405 3262.58 21.0 14.362 0.050
346.547662 58.572321 14.069 4159.79 26.2 14.098 0.041
346.704891 58.574812 15.362 1319.36 8.8 15.345 0.117
347.060126 58.579227 14.435 3412.82 22.7 14.313 0.047
346.816573 58.576870 15.196 1372.67 9.2 15.302 0.112
346.563992 58.574165 11.326 52034.81 192.7 11.355 0.006
346.688838 58.576048 14.815 2158.73 14.1 14.810 0.074
346.680988 58.576147 12.899 11541.32 63.9 12.990 0.017
346.771095 58.586804 13.764 5547.11 34.1 13.786 0.031
346.879190 58.592257 14.643 2480.94 16.2 14.659 0.065
346.994602 58.598636 13.738 5826.03 35.6 13.732 0.030
346.627601 58.597438 13.403 7856.37 46.4 13.408 0.023
346.708028 58.599657 15.192 1518.23 10.1 15.192 0.102
346.842993 58.602894 11.775 33900.68 144.7 11.820 0.007
346.869562 58.604186 14.818 2582.21 16.9 14.616 0.063
347.049937 58.607224 12.871 12016.98 66.2 12.946 0.016
346.889412 58.606559 13.590 7001.08 41.9 13.533 0.026
346.796158 58.606016 12.501 17298.99 88.5 12.551 0.012
346.736027 58.607370 12.329 20247.64 99.4 12.380 0.011
346.688953 58.607078 14.079 4134.55 26.0 14.105 0.041
346.775334 58.608531 13.293 8431.80 49.2 13.331 0.022
346.558481 58.614868 15.072 1683.57 11.2 15.080 0.093
346.874739 58.618774 14.268 3381.74 21.6 14.323 0.049
347.029260 58.620797 12.807 13473.88 72.8 12.822 0.015
346.942769 58.621291 13.458 7219.16 43.1 13.500 0.025
346.848376 58.620905 14.375 3017.83 19.5 14.447 0.054
346.911134 58.621605 9.799 214992.66 442.5 9.815 0.002
346.822941 58.621972 14.885 2079.81 13.7 14.851 0.077
346.609001 58.620372 14.976 1862.92 12.4 14.970 0.084
346.687327 58.624067 13.717 5784.74 35.3 13.740 0.030
346.787805 58.627549 13.166 9518.80 54.4 13.199 0.020
347.013400 58.630138 14.539 2962.13 19.2 14.467 0.055
346.686637 58.627557 13.934 4679.94 29.1 13.970 0.037
346.613635 58.630698 15.124 1557.91 10.4 15.164 0.100
346.890092 58.633743 13.195 9589.80 55.0 13.191 0.020
346.636898 58.636048 12.760 13491.07 72.7 12.821 0.015
346.966745 58.642797 13.904 5095.06 31.6 13.878 0.034
346.918656 58.643803 13.618 6157.01 37.4 13.672 0.029
346.786497 58.644948 13.123 9753.69 55.6 13.173 0.019
346.591767 58.642869 14.601 2218.55 14.6 14.781 0.072
347.037174 58.648905 12.057 26562.41 122.0 12.085 0.009
346.634061 58.648466 12.607 16393.77 84.9 12.609 0.013
346.689404 58.651536 14.474 2681.27 17.4 14.575 0.061
346.755644 58.652952 13.376 8030.70 47.3 13.384 0.023
346.676685 58.652598 14.291 3303.38 21.2 14.348 0.050
346.867717 58.654850 14.334 3314.30 21.3 14.345 0.050
346.547358 58.656273 13.200 9306.22 54.0 13.224 0.020
346.816974 58.660558 13.738 6228.77 38.5 13.660 0.028
