#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
346.808661 58.683450 12.037 26839.72 93.6 12.109 0.012
346.917442 58.684188 14.339 3151.14 13.0 14.435 0.081
346.748469 58.674233 12.403 18656.98 67.7 12.504 0.016
346.582766 58.669435 14.234 3193.62 12.9 14.420 0.081
346.719169 58.671655 14.208 3306.43 13.4 14.383 0.078
346.771622 58.666698 13.101 9366.77 36.3 13.252 0.030
346.547358 58.656273 13.200 8906.39 34.3 13.307 0.031
346.816974 58.660558 13.738 5229.19 20.9 13.885 0.051
346.676685 58.652598 14.291 3634.82 14.7 14.280 0.072
346.689404 58.651536 14.474 2983.80 12.1 14.494 0.086
346.755644 58.652952 13.376 7433.13 29.2 13.503 0.037
346.867717 58.654850 14.334 2673.80 10.9 14.613 0.095
346.634061 58.648466 12.607 15475.95 56.9 12.707 0.019
346.591767 58.642869 14.601 2133.08 8.7 14.858 0.119
346.786497 58.644948 13.123 9747.85 37.6 13.209 0.028
346.918656 58.643803 13.618 5521.33 22.2 13.826 0.048
346.636898 58.636048 12.760 13646.15 50.9 12.843 0.021
346.966745 58.642797 13.904 4066.06 16.6 14.158 0.064
346.890092 58.633743 13.195 9240.72 36.0 13.267 0.030
346.686637 58.627557 13.934 4580.92 18.3 14.029 0.058
346.787805 58.627549 13.166 9633.61 37.3 13.222 0.029
346.687327 58.624067 13.717 5457.94 21.7 13.838 0.049
347.013400 58.630138 14.539 2108.62 8.8 14.871 0.117
346.609001 58.620372 14.976 1832.98 7.5 15.023 0.136
346.822941 58.621972 14.885 1833.61 7.6 15.023 0.135
346.558481 58.614868 15.072 1806.75 7.4 15.039 0.137
346.848376 58.620905 14.375 2888.97 11.8 14.529 0.088
346.911134 58.621605 9.799 229318.36 428.5 9.780 0.003
346.942769 58.621291 13.458 6628.04 26.5 13.628 0.040
346.874739 58.618774 14.268 3391.70 13.8 14.355 0.076
346.688953 58.607078 14.079 3950.83 15.9 14.189 0.066
346.775334 58.608531 13.293 8295.10 32.4 13.384 0.033
346.736027 58.607370 12.329 20881.27 74.6 12.382 0.014
