#   RA   Dec   GaiaMag_V   counts    aper_SNR    mag_V   err_mag_V
346.616465 58.457562 13.745 1910.73 12.9 13.119 0.081
346.712593 58.449233 13.055 2935.52 19.2 12.653 0.055
346.749642 58.448179 11.883 6237.40 37.1 11.835 0.029
346.745914 58.450458 12.748 2334.95 14.9 12.902 0.071
346.808028 58.445587 13.245 1783.04 11.6 13.194 0.090
346.836007 58.451845 12.734 2458.30 15.6 12.846 0.067
346.760257 58.459667 13.297 1900.25 12.3 13.125 0.085
346.554223 58.481618 13.028 2126.81 13.8 13.003 0.076
346.610502 58.477031 12.523 3402.22 21.5 12.493 0.049
346.895839 58.457051 13.488 1576.89 10.2 13.328 0.101
346.745841 58.475774 12.808 2383.40 15.3 12.879 0.069
346.506527 58.503844 11.733 6877.36 40.6 11.729 0.026
346.682839 58.490519 13.807 1092.30 7.2 13.726 0.141
346.567274 58.505243 13.078 1760.88 11.5 13.208 0.090
347.031706 58.464168 13.827 1721.50 11.1 13.233 0.094
346.719259 58.500210 13.104 2061.44 13.3 13.037 0.079
347.059967 58.480660 11.618 6524.79 43.1 11.786 0.025
346.656850 58.525489 12.120 4862.15 30.0 12.105 0.036
347.026863 58.499922 13.592 5960.28 35.4 11.884 0.030
347.026863 58.499922 13.592 1284.40 8.3 13.551 0.123
346.740280 58.526863 13.742 1223.30 8.1 13.603 0.127
346.679625 58.534932 13.023 1961.48 12.7 13.091 0.082
346.722572 58.537083 14.437 2700.72 17.3 12.744 0.061
346.722572 58.537083 14.437 2934.56 18.7 12.653 0.057
346.933036 58.533538 11.434 9009.38 51.2 11.436 0.021
346.798596 58.550439 13.292 1408.34 9.2 13.451 0.113
346.563992 58.574165 11.326 9735.04 55.0 11.351 0.020
346.791983 58.554192 9.905 37504.63 154.0 9.887 0.007
346.963411 58.543264 12.305 3554.85 22.1 12.445 0.048
346.680988 58.576147 12.899 2479.25 16.1 12.836 0.065
347.016236 58.553260 12.790 2229.05 14.2 12.952 0.074
346.897013 58.568710 13.284 1337.95 8.8 13.506 0.117
346.627601 58.597438 13.403 1453.09 9.6 13.417 0.107
346.952555 58.571834 13.388 1264.16 8.3 13.568 0.124
346.986693 58.568932 13.135 1482.10 9.6 13.395 0.108
346.992397 58.573346 11.040 12517.32 67.2 11.079 0.016
346.736027 58.607370 12.329 3527.09 22.2 12.454 0.048
346.796158 58.606016 12.501 3575.49 22.5 12.439 0.047
346.775334 58.608531 13.293 1497.26 9.9 13.384 0.105
346.842993 58.602894 11.775 6683.48 39.7 11.760 0.027
346.889412 58.606559 13.590 1369.12 9.0 13.481 0.114
346.636898 58.636048 12.760 2796.60 18.0 12.706 0.059
346.787805 58.627549 13.166 1934.70 12.5 13.106 0.083
347.049937 58.607224 12.871 2428.87 15.5 12.859 0.068
346.911134 58.621605 9.799 39355.85 158.9 9.835 0.007
346.634061 58.648466 12.607 2744.70 17.7 12.726 0.060
346.942769 58.621291 13.458 1836.76 11.8 13.162 0.088
347.029260 58.620797 12.807 2606.03 16.5 12.782 0.064
346.890092 58.633743 13.195 1865.04 12.1 13.146 0.086
346.786497 58.644948 13.123 1900.91 12.4 13.125 0.085
346.755644 58.652952 13.376 1658.42 10.8 13.273 0.096
346.771622 58.666698 13.101 2276.20 14.8 12.929 0.071
